Title, Genre, Year, Ratings, BoxOffice, Poster, Awards, Actors
The Jungle Book,Adventure/Drama/Family/Fantasy,2016,95%,$363 995 937,https://m.media-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_SX300.jpg,Won 1 Oscar. Another 31 wins & 54 nominations.,Neel Sethi. Bill Murray. Ben Kingsley. Idris Elba
Creed,Drama/Sport,2015,95%,$81 157 671,https://m.media-amazon.com/images/M/MV5BODg5NDM1MDI4NF5BMl5BanBnXkFtZTgwMzg0MzQxNzE@._V1_SX300.jpg,Nominated for 1 Oscar. Another 46 wins & 61 nominations.,Michael B. Jordan. Sylvester Stallone. Tessa Thompson
Arrival,Drama/Mystery/Sci-Fi/Thriller,2016,94%,$100 501 349,https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,Won 1 Oscar. Another 64 wins & 251 nominations.,Amy Adams. Jeremy Renner. Forest Whitaker. Michael Stuhlbarg
The Dark Knight,Action/Crime/Drama/Thriller,2008,94%,$533 316 061,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,Won 2 Oscars. Another 152 wins & 155 nominations.,Christian Bale. Heath Ledger. Aaron Eckhart. Michael Caine
Finding Dory,Animation/Adventure/Comedy/Family,2016,94%,$486 292 984,https://m.media-amazon.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_SX300.jpg,Nominated for 1 BAFTA Film Award. Another 15 wins & 42 nominations.,Ellen DeGeneres. Albert Brooks. Ed O'Neill. Kaitlin Olson
Wonder Woman,Action/Adventure/Fantasy/Sci-Fi/War,2017,93%,$412 400 625,https://m.media-amazon.com/images/M/MV5BNDFmZjgyMTEtYTk5MC00NmY0LWJhZjktOWY2MzI5YjkzODNlXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,17 wins & 54 nominations.,Gal Gadot. Chris Pine. Connie Nielsen. Robin Wright
Logan,Action/Drama/Sci-Fi/Thriller,2017,93%,$226 276 809,https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Nominated for 1 Oscar. Another 13 wins & 55 nominations.,Hugh Jackman. Patrick Stewart. Dafne Keen. Boyd Holbrook
Baby Driver,Action/Crime/Drama/Music/Thriller,2017,93%,$107 770 367,https://m.media-amazon.com/images/M/MV5BMjM3MjQ1MzkxNl5BMl5BanBnXkFtZTgwODk1ODgyMjI@._V1_SX300.jpg,Nominated for 3 Oscars. Another 31 wins & 44 nominations.,Ansel Elgort. Jon Bernthal. Jon Hamm. Eiza González
War for the Planet of the Apes,Action/Adventure/Drama/Sci-Fi/Thriller,2017,93%,$146 872 826,https://m.media-amazon.com/images/M/MV5BNDNmYTQzMDEtMmY0MS00OTNjLTk4MjItMDZhMzkzOGI3MzA0XkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg,Nominated for 1 Oscar. Another 22 wins & 46 nominations.,Andy Serkis. Woody Harrelson. Steve Zahn. Karin Konoval
Spider-Man: Homecoming,Action/Adventure/Sci-Fi,2017,92%,$334 166 825,https://m.media-amazon.com/images/M/MV5BNTk4ODQ1MzgzNl5BMl5BanBnXkFtZTgwMTMyMzM4MTI@._V1_SX300.jpg,4 wins & 9 nominations.,Tom Holland. Michael Keaton. Robert Downey Jr.. Marisa Tomei
La La Land,Comedy/Drama/Music/Musical/Romance,2016,91%,$151 058 124,https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,Won 6 Oscars. Another 215 wins & 254 nominations.,Ryan Gosling. Emma Stone. Amiée Conn. Terry Walters
Captain America: Civil War,Action/Adventure/Sci-Fi,2016,91%,$408 080 554,https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,16 wins & 65 nominations.,Chris Evans. Robert Downey Jr.. Scarlett Johansson. Sebastian Stan
King Kong,Action/Adventure/Drama/Romance,2005,84%,$218 100 000,https://m.media-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Won 3 Oscars. Another 43 wins & 100 nominations.,Naomi Watts. Jack Black. Adrien Brody. Thomas Kretschmann
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
La Grande illusion (Grand Illusion),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
Star Wars: Episode VII - The Force Awakens: The Story Awakens - The Table Read,Documentary/Short,2016,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMzk4ZTNjMjUtOGE3OS00Y2FlLWE5NjAtYjZmM2ExMzY2YzVlXkEyXkFqcGdeQXVyNzMxMzYyOTI@._V1_SX300.jpg,N/A,J.J. Abrams. John Boyega. Chris Clarke. Adam Driver
Nosferatu， a Symphony of Horror (Nosferatu， eine Symphonie des Grauens) (Nosferatu the Vampire),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
The Battle of Algiers (La Battaglia di Algeri),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
The Bride of Frankenstein,Family,2013,N/A,N/A,N/A,N/A,
Bicycle Thieves (Ladri di biciclette),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
Seven Samurai (Shichinin no Samurai),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
12 Angry Men (Twelve Angry Men),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
The 400 Blows (Les Quatre cents coups),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
Army of Shadows (L'Armée des ombres),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
Rashômon,Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
Open City,Action/Crime,2008,N/A,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNzYzNjE5OV5BMl5BanBnXkFtZTgwMjgyNzE1MjE@._V1_SX300.jpg,1 win & 1 nomination.,
Tokyo Story (Tôkyô monogatari),Data not exist,Data not exist,N/A,Data not exist,Data not exist,Data not exist,
